step,layer,ratio,lr,loss
4,blocks.1.ln2.bias,3.41698746e-01,2.40000000e-04,5.686982
4,blocks.1.mlp.0.weight,1.66311040e-03,2.40000000e-04,5.686982
4,blocks.1.mlp.0.bias,1.71748166e-03,2.40000000e-04,5.686982
4,blocks.1.mlp.2.weight,3.36344770e-03,2.40000000e-04,5.686982
4,blocks.1.mlp.2.bias,3.32090350e-03,2.40000000e-04,5.686982
4,ln_f.weight,2.10824134e-04,2.40000000e-04,5.686982
4,ln_f.bias,3.71151502e-01,2.40000000e-04,5.686982
4,lm_head.weight,1.75839046e-03,2.40000000e-04,5.686982
5,token_emb.weight,1.37208269e-04,3.00000000e-04,5.699092
5,pos_emb.weight,1.37155544e-04,3.00000000e-04,5.699092
5,blocks.0.ln1.weight,1.35432562e-04,3.00000000e-04,5.699092
5,blocks.0.ln1.bias,3.14828835e-01,3.00000000e-04,5.699092
5,blocks.0.attn.in_proj_weight,1.53333449e-03,3.00000000e-04,5.699092
5,blocks.0.attn.in_proj_bias,3.10496330e-01,3.00000000e-04,5.699092
5,blocks.0.attn.out_proj.weight,1.87968192e-03,3.00000000e-04,5.699092
5,blocks.0.attn.out_proj.bias,3.25521150e-01,3.00000000e-04,5.699092
5,blocks.0.ln2.weight,1.50175625e-04,3.00000000e-04,5.699092
5,blocks.0.ln2.bias,3.23777230e-01,3.00000000e-04,5.699092
5,blocks.0.mlp.0.weight,1.87335853e-03,3.00000000e-04,5.699092
5,blocks.0.mlp.0.bias,1.87918362e-03,3.00000000e-04,5.699092
5,blocks.0.mlp.2.weight,3.71903285e-03,3.00000000e-04,5.699092
5,blocks.0.mlp.2.bias,4.03268692e-03,3.00000000e-04,5.699092
5,blocks.1.ln1.weight,1.37807289e-04,3.00000000e-04,5.699092
5,blocks.1.ln1.bias,3.11857126e-01,3.00000000e-04,5.699092
5,blocks.1.attn.in_proj_weight,1.52594946e-03,3.00000000e-04,5.699092
5,blocks.1.attn.in_proj_bias,3.29695987e-01,3.00000000e-04,5.699092
5,blocks.1.attn.out_proj.weight,1.85887221e-03,3.00000000e-04,5.699092
5,blocks.1.attn.out_proj.bias,3.26894413e-01,3.00000000e-04,5.699092
5,blocks.1.ln2.weight,1.23382018e-04,3.00000000e-04,5.699092
5,blocks.1.ln2.bias,2.97129295e-01,3.00000000e-04,5.699092
5,blocks.1.mlp.0.weight,1.86739746e-03,3.00000000e-04,5.699092
5,blocks.1.mlp.0.bias,1.93974620e-03,3.00000000e-04,5.699092
5,blocks.1.mlp.2.weight,3.77657686e-03,3.00000000e-04,5.699092
5,blocks.1.mlp.2.bias,3.91491772e-03,3.00000000e-04,5.699092
5,ln_f.weight,2.66033486e-04,3.00000000e-04,5.699092
5,ln_f.bias,3.13600154e-01,3.00000000e-04,5.699092
5,lm_head.weight,1.98096210e-03,3.00000000e-04,5.699092
6,token_emb.weight,1.52880123e-04,3.60000000e-04,5.708424
6,pos_emb.weight,1.52977706e-04,3.60000000e-04,5.708424
6,blocks.0.ln1.weight,1.45407714e-04,3.60000000e-04,5.708424
